,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0,0.91,3,3,2,63.4,57.0,6.1,6.18,3.89,3109.1190377846524
1,0.38,2,5,4,60.3,61.0,4.68,4.71,2.83,326.0
2,0.52,5,3,4,61.8,56.0,5.19,5.16,3.2,1090.429021763787
3,1.1,5,4,5,61.3,56.0,6.65,6.69,4.09,6944.2439822797
4,2.28,5,4,2,61.6,57.0,8.44,8.37,5.18,16556.59576613727
5,2.01,3,1,4,60.8,58.0,8.08,8.16,4.94,13794.082469264133
6,1.06,5,4,2,62.2,57.0,6.51,6.49,4.04,5030.870032216602
7,0.7,4,6,3,60.1,58.0,5.81,5.83,3.5,2931.42513022674
8,0.73,4,2,4,59.7,59.0,5.94,5.81,3.51,2353.738773241353
9,0.73,5,3,8,61.6,55.0,5.8,5.82,3.58,4871.610030123456
10,1.0,2,7,4,64.1,58.0,6.24,6.33,4.03,6046.975174721415
11,0.33,5,4,6,60.1,57.0,4.48,4.51,2.7,1096.3376753453806
12,0.54,5,1,6,61.6,57.0,5.25,5.23,3.23,1599.6020107851261
13,0.33,5,7,4,61.9,53.0,4.49,4.46,2.77,1010.8470044423038
14,0.51,1,7,4,64.4,54.0,5.06,5.03,3.25,1744.7990404892296
15,0.51,5,6,3,62.4,55.0,5.09,5.14,3.19,1516.6527695399304
16,0.3,2,2,3,63.2,55.0,4.25,4.29,2.7,326.0
17,2.66,2,3,2,64.3,60.0,8.71,8.65,5.58,19431.411199670143
18,0.92,4,5,3,61.8,59.0,6.21,6.25,3.85,4467.3886190402045
19,0.3,5,4,8,62.2,55.0,4.3,4.32,2.68,1809.3842922605163
20,1.0,3,3,3,62.0,54.0,6.43,6.47,4.0,4486.715112670149
21,0.34,3,5,5,61.1,57.0,4.51,4.54,2.76,678.2651461040964
22,1.01,3,5,2,62.4,58.0,6.37,6.41,3.99,4654.509934981881
23,0.87,5,5,5,62.0,55.0,6.1,6.13,3.79,5232.60558299973
24,1.26,4,7,2,61.9,58.0,6.88,6.81,4.24,7712.204677250631
25,0.38,4,6,5,60.2,58.0,4.66,4.71,2.82,1471.0344973213896
26,0.55,5,5,6,62.3,54.0,5.29,5.27,3.29,2985.616590498856
27,0.65,4,4,3,61.9,58.0,5.54,5.51,3.42,1830.4886570869148
28,0.41,4,7,6,62.2,58.0,4.8,4.78,2.98,2330.6823346166775
29,0.7,3,2,1,63.2,59.0,5.62,5.59,3.54,399.6094719281382
30,1.03,3,2,5,62.9,53.0,6.45,6.5,4.07,5422.730085064391
31,0.34,5,5,6,61.3,56.0,4.52,4.56,2.78,1420.4383894177079
32,0.73,5,2,7,61.7,53.0,5.8,5.84,3.59,4092.5454816590664
33,0.83,5,7,2,62.1,56.0,6.0,6.04,3.74,3998.4424009950126
34,0.51,3,4,3,63.0,53.0,5.1,5.13,3.22,623.808270858708
35,1.06,5,6,4,61.3,57.0,6.54,6.57,4.02,6727.560311569864
36,0.41,5,7,5,61.8,57.0,4.75,4.8,2.95,2054.414244607975
37,1.03,5,5,4,60.4,56.0,6.59,6.56,3.97,6137.076137564023
38,0.32,5,7,3,61.3,55.0,4.41,4.46,2.72,470.8190508253424
39,0.3,4,1,5,62.6,58.0,4.32,4.27,2.69,326.0
40,0.32,3,7,6,60.1,58.0,4.41,4.44,2.66,1751.6362132217612
41,0.33,5,4,5,61.7,56.0,4.44,4.47,2.75,525.118520026755
42,0.25,5,4,5,62.7,54.0,4.05,4.08,2.55,326.0
43,0.3,5,5,5,61.0,56.0,4.37,4.35,2.66,641.6212335809041
44,1.26,3,5,8,60.0,60.0,7.04,7.09,4.24,9918.87028870851
45,1.14,5,1,5,61.6,56.0,6.71,6.73,4.14,6328.967374743006
46,1.51,4,3,3,62.8,60.0,7.22,7.14,4.51,9193.513922963732
47,0.51,3,6,2,62.0,57.0,5.09,5.13,3.17,756.0684601251919
48,0.32,5,4,8,61.0,57.0,4.44,4.48,2.72,1950.5579047038511
49,0.94,4,6,2,60.4,59.0,6.37,6.34,3.84,4480.895652058274
